bias,gain,jointP
0,0,1.97583462887801e-65
0.1,0,2.64498508958152e-64
0.2,0,7.13077994860498e-64
0.3,0,1.00645621282173e-63
0.4,0,1.01680732440905e-63
0.5,0,8.39153648762417e-64
0.6,0,6.05002628796895e-64
0.7,0,3.96042974354025e-64
0.8,0,2.41152389728124e-64
0.9,0,1.3880524104313e-64
1,0,7.63810137009697e-65
1.1,0,4.0512837347499e-65
1.2,0,2.08400149769351e-65
1.3,0,1.04461083251825e-65
1.4,0,5.12123023062793e-66
1.5,0,2.46289751809833e-66
1.6,0,1.16470887598663e-66
1.7,0,5.42686493370608e-67
1.8,0,2.49550740920387e-67
1.9,0,1.13409907110063e-67
0,1,1.27689778973115e-39
0.1,1,1.70934124009982e-38
0.2,1,4.60831945262719e-38
0.3,1,6.50429795505221e-38
0.4,1,6.57119278174431e-38
0.5,1,5.42309272086212e-38
0.6,1,3.90987438018018e-38
0.7,1,2.55945710840373e-38
0.8,1,1.55846521227886e-38
0.9,1,8.97039169678485e-39
1,1,4.93617968562363e-39
1.1,1,2.61817217436537e-39
1.2,1,1.34680143130823e-39
1.3,1,6.75087501593805e-40
1.4,1,3.30963303639766e-40
1.5,1,1.59166579592744e-40
1.6,1,7.52701753320373e-41
1.7,1,3.50715173109088e-41
1.8,1,1.61274018002186e-41
1.9,1,7.32919939786094e-42
0,2,2.68581262476716e-26
0.1,2,3.59540937388722e-25
0.2,2,9.69308793888047e-25
0.3,2,1.3681068056829e-24
0.4,2,1.38217738921011e-24
0.5,2,1.14068729792704e-24
0.6,2,8.22398633312113e-25
0.7,2,5.38353364661093e-25
0.8,2,3.27805841317987e-25
0.9,2,1.88682222352377e-25
1,2,1.03827055104845e-25
1.1,2,5.50703426403858e-26
1.2,2,2.83284716784083e-26
1.3,2,1.41997155072601e-26
1.4,2,6.9614453592052e-27
1.5,2,3.34789215197251e-27
1.6,2,1.58322450552434e-27
1.7,2,7.37690398721821e-28
1.8,2,3.39221977734331e-28
1.9,2,1.54161565870948e-28
0,3,4.41478040673463e-18
0.1,3,5.90992190283689e-17
0.2,3,1.59329263399509e-16
0.3,3,2.24881328814693e-16
0.4,3,2.27194168358838e-16
0.5,3,1.87499451252149e-16
0.6,3,1.35181037552328e-16
0.7,3,8.84913513433014e-17
0.8,3,5.38827910822434e-17
0.9,3,3.10144710267208e-17
1,3,1.706647903651e-17
1.1,3,9.05213816626597e-18
1.2,3,4.65646711782121e-18
1.3,3,2.33406549751744e-18
1.4,3,1.14428133559902e-18
1.5,3,5.50306768986545e-19
1.6,3,2.60241107737623e-19
1.7,3,1.21257197485833e-19
1.8,3,5.57593082639234e-20
1.9,3,2.53401690870969e-20
0,4,1.17119032336205e-12
0.1,4,1.56783411783499e-11
0.2,4,4.22682159314758e-11
0.3,4,5.96584228313576e-11
0.4,4,6.0271992486931e-11
0.5,4,4.97414418636136e-11
0.6,4,3.58619701314727e-11
0.7,4,2.34757348828507e-11
0.8,4,1.42944830087119e-11
0.9,4,8.2277814532467e-12
1,4,4.52754004954142e-12
1.1,4,2.40142785129115e-12
1.2,4,1.2353070202827e-12
1.3,4,6.19200656190184e-13
1.4,4,3.03564640590726e-13
1.5,4,1.45990038764893e-13
1.6,4,6.9038964352196e-14
1.7,4,3.21681359545694e-14
1.8,4,1.47923013739139e-14
1.9,4,6.72245459409323e-15
0,5,5.42108488996451e-09
0.1,5,7.25702874812664e-08
0.2,5,1.95646755391649e-07
0.3,5,2.761407502427e-07
0.4,5,2.78980778137757e-07
0.5,5,2.30238052273018e-07
0.6,5,1.65994186022648e-07
0.7,5,1.08662058689921e-07
0.8,5,6.61648276139554e-08
0.9,5,3.80839055996347e-08
1,5,2.09566100929019e-08
1.1,5,1.11154813861539e-08
1.2,5,5.71786163917225e-09
1.3,5,2.86609208953569e-09
1.4,5,1.40510867739229e-09
1.5,5,6.75743623770566e-10
1.6,5,3.1956043266658e-10
1.7,5,1.48896547626045e-10
1.8,5,6.8469077882858e-11
1.9,5,3.11162039991051e-11
0,6,1.56970221030886e-06
0.1,6,2.10130892569069e-05
0.2,6,5.66504953550061e-05
0.3,6,7.99579336628228e-05
0.4,6,8.07802779268766e-05
0.5,6,6.66665781639381e-05
0.6,6,4.80644457681379e-05
0.7,6,3.14636419027552e-05
0.8,6,1.91583563545729e-05
0.9,6,1.10273851102398e-05
1,6,6.06809113878763e-06
1.1,6,3.21854316149751e-06
1.2,6,1.65563540055682e-06
1.3,6,8.29891281765628e-07
1.4,6,4.06856236601245e-07
1.5,6,1.95664941864012e-07
1.6,6,9.25303196067957e-08
1.7,6,4.31137391610725e-08
1.8,6,1.98255635305566e-08
1.9,6,9.00985230543705e-09
0,7,6.10397417093146e-05
0.1,7,0.000817119025718893
0.2,7,0.00220292204563686
0.3,7,0.00310925956932231
0.4,7,0.00314123740635683
0.5,7,0.00259240936595861
0.6,7,0.00186904327191539
0.7,7,0.001223501223586
0.8,7,0.000744995525761561
0.9,7,0.000428813015894101
1,7,0.000235964957778391
1.1,7,0.000125156887700013
1.2,7,6.43813562541275e-05
1.3,7,3.22713118151363e-05
1.4,7,1.58210897786003e-05
1.5,7,7.6086645189837e-06
1.6,7,3.59815178445076e-06
1.7,7,1.67652914370097e-06
1.8,7,7.70940672185629e-07
1.9,7,3.50358847653491e-07
0,8,0.000516459531384817
0.1,8,0.00691367455514641
0.2,8,0.0186390055971236
0.3,8,0.026307561191415
0.4,8,0.0265781268633373
0.5,8,0.0219344723422426
0.6,8,0.0158140448389883
0.7,8,0.0103520894893556
0.8,8,0.00630343493180095
0.9,8,0.00362820292220506
1,8,0.00199650830925566
1.1,8,0.0010589570951816
1.2,8,0.000544733056690698
1.3,8,0.000273048772987767
1.4,8,0.00013386283074337
1.5,8,6.43771942983002e-05
1.6,8,3.04440964592959e-05
1.7,8,1.41851756193893e-05
1.8,8,6.52295778344892e-06
1.9,8,2.96439927838086e-06
0,9,0.00129955241365102
0.1,9,0.0173966824297868
0.2,9,0.046900799074901
0.3,9,0.0661969671697307
0.4,9,0.0668777838661618
0.5,9,0.0551930882136893
0.6,9,0.0397924307544243
0.7,9,0.0260486680266134
0.8,9,0.0158611538409394
0.9,9,0.00912954370717977
1,9,0.00502375701192022
1.1,9,0.00266462358687834
1.2,9,0.00137069628034501
1.3,9,0.000687064852940642
1.4,9,0.000336835229517885
1.5,9,0.000161990500998422
1.6,9,7.66056130845678e-05
1.7,9,3.56937535160047e-05
1.8,9,1.64135329420584e-05
1.9,9,7.45923349873224e-06
0,10,0.00120199652805021
0.1,10,0.0160907337484359
0.2,10,0.0433800107318722
0.3,10,0.0612276379695429
0.4,10,0.0618573465497838
0.5,10,0.0510498073862522
0.6,10,0.0368052593393442
0.7,10,0.0240932248668271
0.8,10,0.0146704755017286
0.9,10,0.00844419949779696
1,10,0.00464662942615072
1.1,10,0.00246459339873041
1.2,10,0.0012677997075603
1.3,10,0.000635487694920903
1.4,10,0.000311549401280416
1.5,10,0.000149830062821541
1.6,10,7.0854918962534e-05
1.7,10,3.30142650258961e-05
1.8,10,1.51813881472964e-05
1.9,10,6.89927753064042e-06
0,11,0.000477306756260102
0.1,11,0.00638954918095243
0.2,11,0.0172259833749648
0.3,11,0.0243131860955671
0.4,11,0.0245632401954
0.5,11,0.0202716209261938
0.6,11,0.0146151827718427
0.7,11,0.00956729802513212
0.8,11,0.00582557179751756
0.9,11,0.00335314901287158
1,11,0.00184515309918274
1.1,11,0.000978677602801636
1.2,11,0.00050343686681417
1.3,11,0.000252348957112157
1.4,11,0.000123714695233895
1.5,11,5.94967619345815e-05
1.6,11,2.8136130800593e-05
1.7,11,1.31097980585544e-05
1.8,11,6.02845263111184e-06
1.9,11,2.73966829507399e-06
0,12,9.19125041331125e-05
0.1,12,0.00123040258240758
0.2,12,0.00331711891227785
0.3,12,0.00468186504420688
0.4,12,0.00473001667454306
0.5,12,0.00390360165182398
0.6,12,0.00281437048460961
0.7,12,0.00184232531332216
0.8,12,0.00112180036191504
0.9,12,0.000645698638165839
1,12,0.000355311630582579
1.1,12,0.000188458906212238
1.2,12,9.69442449639311e-05
1.3,12,4.85935391849315e-05
1.4,12,2.38231017849153e-05
1.5,12,1.14569850635826e-05
1.6,12,5.41802981956966e-06
1.7,12,2.52448630244095e-06
1.8,12,1.16086807929322e-06
1.9,12,5.2756381549547e-07
0,13,9.47678932886214e-06
0.1,13,0.000126862674161043
0.2,13,0.000342016980245851
0.3,13,0.000482731366189902
0.4,13,0.000487696118927749
0.5,13,0.000402487244004994
0.6,13,0.000290180279903878
0.7,13,0.000189955969911325
0.8,13,0.000115665064282371
0.9,13,6.65758160061526e-05
1,13,3.66349878167721e-05
1.1,13,1.94313642976652e-05
1.2,13,9.99559521127006e-06
1.3,13,5.01031647372448e-06
1.4,13,2.45631994150344e-06
1.5,13,1.18129121620109e-06
1.6,13,5.58634841492223e-07
1.7,13,2.60291296352704e-07
1.8,13,1.19693205291524e-07
1.9,13,5.439533156164e-08
0,14,5.67771300482035e-07
0.1,14,7.60056839837894e-06
0.2,14,2.04908454670102e-05
0.3,14,2.89212945496614e-05
0.4,14,2.92187417145946e-05
0.5,14,2.41137264980844e-05
0.6,14,1.73852165726098e-05
0.7,14,1.13805999403628e-05
0.8,14,6.92969967876505e-06
0.9,14,3.98867552319057e-06
1,14,2.19486726506874e-06
1.1,14,1.16416758825958e-06
1.2,14,5.98853883446644e-07
1.3,14,3.00176969371828e-07
1.4,14,1.47162495565871e-07
1.5,14,7.0773257354981e-08
1.6,14,3.34688067278898e-08
1.7,14,1.55945144189539e-08
1.8,14,7.17103276953306e-09
1.9,14,3.25892104057272e-09
0,15,2.11555104958318e-08
0.1,15,2.83201888488692e-07
0.2,15,7.63501599988883e-07
0.3,15,1.07762535703892e-06
0.4,15,1.08870842272815e-06
0.5,15,8.98492392255009e-07
0.6,15,6.47783942869077e-07
0.7,15,4.24048206175272e-07
0.8,15,2.5820490426799e-07
0.9,15,1.48620521720075e-07
1,15,8.17821144247649e-08
1.1,15,4.33776057567954e-08
1.2,15,2.23136667985316e-08
1.3,15,1.11847798942307e-08
1.4,15,5.48336577930833e-09
1.5,15,2.6370554262365e-09
1.6,15,1.2470684788289e-09
1.7,15,5.81061270950977e-10
1.8,15,2.67197124780721e-10
1.9,15,1.21429417479168e-10
0,16,5.18873210640732e-10
0.1,16,6.94598568862701e-09
0.2,16,1.87261151931844e-08
0.3,16,2.64305098657306e-08
0.4,16,2.67023400292733e-08
0.5,16,2.20369833380992e-08
0.6,16,1.58879519501179e-08
0.7,16,1.04004700925538e-08
0.8,16,6.33289410374246e-09
0.9,16,3.64515936815562e-09
1,16,2.00583901262634e-09
1.1,16,1.06390614272205e-09
1.2,16,5.47278872575671e-10
1.3,16,2.74324869408036e-10
1.4,16,1.34488440143659e-10
1.5,16,6.46780618183848e-11
1.6,16,3.05863772763269e-11
1.7,16,1.42514701924456e-11
1.8,16,6.55344289783321e-12
1.9,16,2.97825343075809e-12
0,17,8.78595623121373e-12
0.1,17,1.1761471779889e-10
0.2,17,3.17084839020342e-10
0.3,17,4.47541515127015e-10
0.4,17,4.52144350405908e-10
0.5,17,3.73146979080764e-10
0.6,17,2.69026898237796e-10
0.7,17,1.76108677694858e-10
0.8,17,1.07233384324631e-10
0.9,17,6.17226135549884e-11
1,17,3.39643932475025e-11
1.1,17,1.80148687817833e-11
1.2,17,9.26694252489972e-12
1.3,17,4.64507753787515e-12
1.4,17,2.27726065727557e-12
1.5,17,1.0951781834224e-12
1.6,17,5.17911826068947e-13
1.7,17,2.41316743230307e-13
1.8,17,1.10967884414423e-13
1.9,17,5.04300544940267e-14
0,18,1.06930199280846e-13
0.1,18,1.43143954757199e-12
0.2,18,3.85910698085691e-12
0.3,18,5.44684063289177e-12
0.4,18,5.50285981631091e-12
0.5,18,4.54141584411693e-12
0.6,18,3.27421387990474e-12
0.7,18,2.14334507314021e-12
0.8,18,1.30509267900238e-12
0.9,18,7.51200119131235e-13
1,18,4.13366427379385e-13
1.1,18,2.19251434694237e-13
1.2,18,1.1278408232803e-13
1.3,18,5.65332962888385e-14
1.4,18,2.77155871812565e-14
1.5,18,1.33289557015258e-14
1.6,18,6.30328826072572e-15
1.7,18,2.93696517081976e-15
1.8,18,1.35054371794531e-15
1.9,18,6.1376310499162e-16
0,19,9.67881648757319e-16
0.1,19,1.29567145550861e-14
0.2,19,3.4930813301418e-14
0.3,19,4.93022282548571e-14
0.4,19,4.98092874390204e-14
0.5,19,4.11067508006023e-14
0.6,19,2.96366372622476e-14
0.7,19,1.94005470596595e-14
0.8,19,1.18130823885988e-14
